age,exercise_min,heart_rate,calories_burned
56,46.660231239321334,131.9512215462064,149.9718137854588
46,53.6493431452748,125.26101975505826,148.52804271984533
32,85.317184702122,122.06104487002608,234.73670605710478
60,40.88821102406194,134.77122650465742,130.13670948994636
25,86.89524510591313,102.419219674457,263.67013160556405
38,82.4280513564851,104.55425043962168,249.74969638857945
56,25.663290783143715,158.94284968108138,87.70249165677976
36,15.548904070013236,165.68923697069062,49.46029677236578
40,18.062240110194132,119.86474530238024,58.97563513378607
28,11.457746052123978,111.6595738514843,59.22633481334736
28,17.555436860474273,141.51996345912127,53.77327806110451
41,64.64054187330855,122.6987336878477,152.69326494454845
53,15.695091876818319,92.03090845282759,90.77385391970233
57,35.5180504235009,102.49220778929524,67.05756522003034
41,77.59002487755636,147.2777783077918,221.57043258978374
20,11.86175485886607,142.7139153528121,13.418142268805255
39,75.15747860711487,92.16767940027867,209.30864939425513
19,32.548381981872,107.75777295463595,30.054758696079354
41,19.4531862097325,108.4859837270457,40.7786507048389
61,65.73897322913206,143.75141948789826,213.32162453222213
47,60.31542774239072,91.57684302034913,154.92060325562733
55,80.19776108216423,98.32868655876591,273.6059943756372
19,68.80568350431086,153.99328682985515,136.12692711154884
38,74.27847443078788,104.28357296434669,210.5521077684249
50,32.562765805704515,142.21968862814998,89.92091949344854
29,24.195163502377824,109.05462248373811,27.32179664172341
39,70.04918013126867,97.95531142074762,202.40920865518373
61,74.54677914138112,109.45377527995633,240.5444109308688
42,89.24041136005387,147.78135454845273,242.93902996060595
44,43.00941415291412,158.45571744850287,85.67650028473975
59,39.761446863422655,156.41758916535932,140.1016832750027
45,72.11303685935975,121.77468236947638,209.98191266325168
33,37.264283220241424,143.4468109256517,61.67490752457322
32,84.46058604828518,106.39874363326568,242.639378929326
64,78.67302014744095,113.45181842088107,269.4528117588917
61,44.319522190001464,161.7068654816896,160.98437115400756
20,70.06968542331978,91.04015388085888,173.6399611274266
54,70.36342992677459,96.84068246835744,223.72289454154497
24,18.24990950687461,106.63090041168219,52.825846982849185
38,82.20423253436533,92.12257630990558,254.67138729448678
26,50.42018979582857,104.51483480718379,89.98006174216083
56,76.11659728861933,136.64332487757537,228.50895572006814
35,35.603968082448944,123.71396404739984,67.19879177868212
21,81.64185827969604,161.41373688615798,191.52033414012004
42,41.13613429873305,155.39548493907526,96.57665505930785
31,10.867012118423869,117.34538813583008,47.17454527400518
26,82.4305581135411,110.7538746745034,238.23260297041472
43,17.302934142890685,120.37539265338135,63.02905537745351
19,35.54509100723319,137.2235954011846,51.3284943948478
37,86.0049573640644,111.4450912658301,230.86632153202893
45,86.04857175500449,139.93191262793073,271.9893447061675
64,55.87503104986289,122.75293217529924,180.23573161641977
24,60.54697697358394,134.1637744681584,132.1446311798035
61,45.87564175826558,124.89012233082533,95.33204118370205
25,33.456861735845166,113.55726076335341,84.67456696456705
64,36.29316362959328,165.87626455697253,122.07503987622238
52,63.801476486163075,151.08846353278088,182.45774684930154
31,70.1899623550144,101.20905406131621,160.01076298194147
34,73.32632349806788,159.47743807183303,178.28588656023734
53,73.16945142356431,128.9944958599611,198.84329518807107
57,17.29648824389523,161.5641781515273,88.11453017754448
21,49.553624376206514,153.9884204757852,105.64262053803999
19,14.604700801331543,124.01708035753867,31.98445598690254
23,53.96231058589884,91.7975446656094,108.32191888545373
59,45.32244010987016,111.49418875079569,147.75232876351578
21,81.01633462066398,133.33073717286936,210.7806323059759
46,38.07320100416629,140.67825758609177,91.2017904612156
35,19.36536131420847,110.63101483465618,56.74031249227717
43,21.43933456422687,101.14848592582592,100.07601991430829
61,70.92085053739778,156.79441894394392,210.58478985538028
51,59.45744506530089,168.75217445628417,146.73391756149482
27,18.08981408982322,132.05521458421487,59.157492453351715
53,16.728544489199795,103.73434286786429,97.72371418658479
31,66.0775305167296,111.78458612154952,171.345937979977
48,15.821040509135482,91.47125412379734,78.64283831010496
32,75.7488047432285,163.1439045248399,158.2137967786049
25,66.4993781725197,99.42008663121129,177.6004514788155
31,16.50790245135198,136.12131804114028,31.290873853069844
40,16.787017126815353,111.92441765497648,62.60024387488888
57,88.93116628009403,134.33424020126347,290.85122122311157
38,39.941663660489624,142.11363106814915,77.60292542330771
33,39.65137176535127,156.37934429657614,74.50793558723485
62,75.0239653806002,106.51370174084826,258.8874812915388
35,85.7798861907087,90.87966629267844,274.46379188061485
64,88.88008510582966,100.95085040550458,362.6725035388408
41,70.27025482071534,162.0014913478484,172.70094964630272
43,40.10076684247326,159.9112062050012,81.4882524310626
42,16.6800573358935,137.79304817362467,79.2242350453246
62,72.17175327419494,138.04134883469226,244.85807911378316
58,54.6723399788644,143.20293396370045,133.09695839629364
46,43.937760739758104,104.02970228987597,114.00266279727144
32,82.50835080757888,163.1529556739968,217.63378293588764
62,18.895798584492105,123.50164199136584,100.4124666936086
18,49.41000834326873,120.6510822599598,101.35117404604746
42,10.908291581393526,131.51341642262702,62.896957198255784
24,47.4928513595301,93.7572773420044,87.22566284823071
26,14.504262054546988,103.30266950048636,35.346378302073596
41,19.505433301445755,149.04268931410962,64.71354728419618
18,19.40209974216839,96.62389343401011,15.333636524143898
61,61.93682416928509,138.25216875731107,162.11269224191736
25,69.68359034123387,109.62792877450568,187.1453883077162
41,56.66950120777277,121.14364912335813,117.06446749464148
28,86.97380387796335,113.09549894165599,238.95200943642948
34,39.98964636189633,118.45381731719593,42.95290348977081
25,32.85696690254886,147.52367241473965,41.88408225175141
52,79.48793025515683,113.769737249854,230.66460712715164
52,27.88766708155621,135.31237122375177,112.67735417220025
50,87.0578031552489,128.08403217592797,295.2277649966155
22,10.972357975185307,143.09369322901185,31.400806111461513
59,87.59030613661112,164.94637914598064,315.29588153294935
56,13.452792956046089,148.60576777682002,109.2756919108914
58,81.29144909584569,107.19523028726054,271.7575301155046
45,52.21608872690399,92.49465080490278,91.52101746387558
24,89.43718368954403,110.981123543986,299.880477379992
26,15.903725178831909,137.6062344560204,22.190904961080065
25,54.30834275210566,94.11406507874003,82.91729297757419
29,87.54420284952792,129.7092997760989,264.07787200465566
51,51.847827533611905,137.74742791335115,166.04935441080036
50,60.351891050821,116.73951126535687,181.02547314154245
40,65.65989511876937,151.67297629966575,158.82108560912042
41,46.36328518142186,98.52786025070175,112.40108888155824
54,60.204646406725075,96.0110225388647,187.10542147071118
52,56.74514495384802,148.25510049628826,154.613346350925
61,82.09264083927911,129.63930529649588,280.6734008635756
57,13.63571042731663,145.0721917142189,97.72035405513654
39,32.477055167378424,124.7861870882997,68.5804448798596
44,86.0329187261247,109.71216265912855,262.00212841297576
52,81.2211027112733,155.52818541393597,234.08132327655488
18,46.45254022285704,153.95327031751833,42.0699637899217
52,59.61060782412294,145.57571766835414,151.63603335860543
54,32.19049463849061,111.77161097839702,82.49190004972758
64,25.049692777900905,137.21845334952695,97.25837957866656
31,47.09587239519857,118.87791175520215,90.31604403414913
20,38.268178242084225,97.32656586613074,79.41103899117492
18,56.692488948069766,163.38508603697943,105.20473518190018
22,16.218770957198785,100.94549047351691,10.555961450669784
43,87.95158461329332,166.0189883056642,235.34419290892623
31,88.89685955836823,125.68046183663645,275.4157882932007
56,65.85293712157961,104.81063430708957,183.8693713836245
44,52.88770930752963,133.35207579026866,116.71365911952161
26,34.76220930290622,159.83566687011268,62.49552031307996
32,75.10360157655589,148.5779909127649,164.5628469161025
32,64.77849380431034,154.52489182891597,136.16933304355555
43,23.009355147591304,142.70266933685738,48.12267135679322
59,82.8741747595074,145.3821251614282,258.45504009656736
30,75.80297943385352,157.93565212522554,180.30116239246732
49,85.98399306335392,109.97344070873487,258.287453103871
56,68.0575606710688,129.15399709145123,205.44752284706493
49,59.07321567486319,107.69675534556818,156.00031546640912
21,43.45944290324951,169.01344063973175,69.90800887296719
47,84.61827866832107,165.52474717492908,243.54206772551888
54,79.28511116003267,93.15414490948046,284.31613664714183
40,13.617493608495153,146.44601380125508,65.28734039790955
56,12.10935795978016,164.01986539325327,91.48858588340221
62,40.117069350243966,104.44602761018669,132.52275562867806
32,74.84426646254663,135.43561844421035,191.9609297078935
60,88.98209034519556,163.23906380704335,293.16358504958566
46,22.033351288282255,92.7156782868639,69.733950517573
53,57.53045722817081,145.7936213797472,137.90261446284168
30,40.47126853048172,113.78792058980406,61.6583905751805
49,87.59315182516826,163.95169563012243,239.45838180548952
24,77.36951385085669,167.68465961322943,197.77391002726964
